번호,상호,주소,면적(㎡),전화번호,구분
1,홈플러스(주) 대전둔산점,대전광역시 서구 문예로 107(둔산동),15442,042-611-8000,대형마트
2,홈플러스(주) 대전탄방점,대전광역시 서구 둔산중로 1(탄방동),17098,042-488-8350,대형마트
3,(주)이마트 대전둔산점,대전광역시 서구 둔산북로 41(둔산동),9623,042-479-1234,대형마트
4,(주)이마트트레이더스 월평점,대전광역시 서구 한밭대로 580(월평동),11319,042-718-1234,대형마트
5,롯데슈퍼 둔산점,"대전광역시 서구 청사로 281, 샘머리코아(둔산동)",629,042-471-5608,준대규모점포
6,롯데마겟999 월평점,대전광역시 서구 월평로 32(월평동),152,042-489-8613,준대규모점포
7,롯데슈퍼 정림점,대전광역시 서구 계백로1286번길 49(정림동),964,042-584-2233,준대규모점포
8,홈플러스익스프레스 괴정점,대전광역시 서구 갈마로 257(괴정동),238,042-525-8546,준대규모점포
9,홈플러스익스프레스 관저점,대전광역시 서구 관저북로 71(관저동),265,042-545-8545,준대규모점포
10,홈플러스익스프레스 용문점,대전광역시 서구 계룡로 648(용문동),367,042-528-8546,준대규모점포
11,홈플러스익스프레스 월평점,대전광역시 서구 월평북로 90(월평동),366,042-482-8543,준대규모점포
12,GS슈퍼 월평점,"대전광역시 서구 청사로 65, 황실코아(월평동)",702,042-489-1556,준대규모점포
13,GS슈퍼 도마점,대전광역시 서구 배재로 206(도마동),865,042-536-1002,준대규모점포
14,이마트에브리데이 관저점,"대전광역시 서구 관저중로 70, 관저스포월드(관저동)",1351,042-546-4988,준대규모점포
15,이마트에브리데이 월평점,대전광역시 서구 월평북로 27(월평동),248,042-710-0131,준대규모점포
16,이마트에브리데이 관저효성점,"대전광역시 서구 관저동로 12, 효성해링턴플레이스(관저동)",199,042-710-1141,준대규모점포
17,이마트노브랜드 탄방점,"대전광역시 서구 탄방로 8, 1층(탄방동, 진양빌딩)",345,042-489-8382,준대규모점포
18,이마트노브랜드 관저점,"대전광역시 서구 구봉로 139, 106~116호(관저동, 밀리온빌딩)",410,042-545-8521,준대규모점포
19,이마트노브랜드 둔산점,대전광역시 서구 대덕대로 230 (둔산동),661,042-489-7801,준대규모점포
20,이마트노브랜드 가수원점,대전광역시 서구 도안동로 12번길 9(가수원동),380,042-543-8177,준대규모점포
21,이마트노브랜드 갈마점,대전광역시 서구 신갈마로 186(상가동 1층),423,042-537-8680,준대규모점포
22,홈플러스익스프레스 둔산점,대전광역시 서구 청사로 281(둔산동),223,042-477-8546,준대규모점포
23,홈플러스익스프레스 갈마점,대전광역시 서구 갈마중로 12(갈마동),255,042-535-8546,준대규모점포
24,홈플러스익스프레스 도안2점,대전광역시 서구 원도안로 191(도안동),193,042-545-8591,준대규모점포
25,GS슈퍼 관저북로점,대전광역시 서구 관저북로 21(관저동),330,042-541-8911,준대규모점포
26,롯데마켓999 둔산남로점,대전광역시 서구 둔산남로9번길 39(둔산동),183,042-471-9979,준대규모점포
27,롯데마켓999 대덕대로점,대전광역시 서구 대덕대로175번길 60(둔산동),140,042-472-0313,준대규모점포
28,롯데마켓999 만년점,대전광역시 서구 만년남로11번길 42(만년동),163,042-484-4999,준대규모점포
29,롯데슈퍼 관저가맹점,대전광역시 서구 관저북로 19(관저동),490,042-525-8998,준대규모점포
30,롯데슈퍼 비래점,대전광역시 대덕구 비래동로 8 (비래동),903,042-627-5602,준대규모점포
31,홈플러스익스프레스 송촌점,대전광역시 대덕구 동춘당로94번길 11-15 (송촌동),652,042-634-8545,준대규모점포
32,GS슈퍼마켓 신탄진점,대전광역시 대덕구 석봉로44번길 76 (신탄진동),1893,042-936-2800,준대규모점포
33,이마트에브리데이 법동점,대전광역시 대덕구 동춘당로 178 (법동),1771,042-639-3001,준대규모점포
34,홈플러스㈜ 유성점,대전광역시 유성구 한밭대로 502(봉명동),,042-841-2080,대형마트
35,롯데마트 대덕점,대전광역시 유성구 테크노중앙로(관평동),,,대형마트
36,롯데마트 노은점,대전광역시 유성구 북유성대로 206(하기동),,,대형마트
37,롯데마트 서대전점,대전광역시 유성구 유성대로 26-37(원내동),,,대형마트
38,홈플러스 서대전점,대전광역시 유성구 대정로 23(대정동),,,대형마트
39,홈플러스익스프레스 봉명점,대전광역시 유성구 계룡로 48(봉명동),,,준대규모점포
40,홈플러스익스프레스 노은점,대전광역시 유성구 노은로 178(지족동),,,준대규모점포
41,홈플러스익스프레스 반석점,대전광역시 유성구 반석동로 52(반석동),,,준대규모점포
42,홈플러스익스프레스 대전도안점,대전광역시 유성구 도안대로 511-6(상대동),,,준대규모점포
43,롯데슈퍼 한빛점,대전광역시 유성구 어은로 57(어은동),,,준대규모점포
44,GS더프레시 대전송강점,대전광역시 유성구 구즉로58번길 33(송강동),,,준대규모점포
45,GS더프레시 대전스마트시티점,대전광역시 유성구 엑스포로 123번길 34(도룡동),,,준대규모점포
46,롯데슈퍼 엑스포점,대전광역시 유성구 엑스포로 488(전민동),,,준대규모점포
47,홈플러스익스프레스 대전관평점,대전광역시 유성구 관평2로 52(관평동),,,준대규모점포
48,홈플러스익스프레스 대전원내점,대전광역시 유성구 진잠로78번길 70(원내동),,,준대규모점포
49,홈플러스익스프레스 대전신성점,대전광역시 유성구 신성남로 51(신성동),,,준대규모점포
50,갤러리아백화점 타임월드,대전광역시 서구 대덕대로 211(둔산동),,,백화점
51,롯데백화점 대전점,대전광역시 서구 계롱로 598(괴정동),,,백화점
52,패션앤비,대전광역시 중구 중앙로 156번길 16(은행동),,,백화점
53,세이백화점,대전광역시 중구 계백로 1700(문화동),,,백화점
54,세이투백화점,대전광역시 중구 계백로 1700(문화동),,,백화점
55,세이 탄방점,대전광역시 서구 문정로 85(탄방동),,,백화점
56,현대프리미엄아울렛 대전점,대전광역시 유성구 테크노중앙로 123(용산동),,,아울렛
57,모다아울렛 대전점,대전광역시 유성구 대정로 5(대정동),,,아울렛
58,패션아일랜드,대전광역시 동구 은어송로72(가오동),,,아울렛
59,이마트에브리데이 신탄진점,대전광역시 대덕구 대청로 62(신탄진동),,,준대규모점포
60,이마트 대전터미널점,대전광역시 동구 동서대로 1689(용전동),,,대형마트
61,홈플러스 동대전점,대전광역시 동구 한밭대로 1282(용전동),,,대형마트
62,홈플러스 대전가오점,대전광역시 동구 은어송로 72(가오동),,,대형마트
63,이마트에브리데이 용방점,대전광역시 동구 계족로140번길 183(용운동),,,준대규모점포
64,롯데슈퍼용운점,대전광역시 동구 동부로85번길 19-8번길 19-8(용운동),,,준대규모점포
65,코스트코코리아 대전점,대전광역시 중구 오류로 41(오류동),,,대형마트
66,홈플러스 문화점,대전광역시 중구 계백로 1690(문화점),,,대형마트
67,농협하나로클럽대전점,대전광역시 중구 대둔산로 199번길 43(안영동),,,대형마트
68,홈플러스익스프레스 유천점,대전광역시 중구 평촌로 58(유천동),,,준대규모점포
69,롯데슈퍼 중촌점,대전광역시 중구 목중로 50(중촌동),,,준대규모점포
70,홈플러스익스프레스 오류점,대전광역시 중구 계롱로 858(오류동),,,준대규모점포
