순번,의료기관명,의료기관주소(도로명),의료기관전화번호
1,탄방정신건강의학과의원,"대전광역시 서구 계룡로 605, 메디칼센터상아빌딩 6층 605호 (탄방동)",042-252-1523
2,더숨내과의원,"대전광역시 서구 도안동로11번길 10, PLC빌딩 2층 201,202호 (가수원동)",042-716-5085
3,청담여성의원,"대전광역시 서구 월평중로 36, 3,4층 (월평동)",042-485-3282
4,배재지안이비인후과의원,"대전광역시 서구 배재로 175, 3층 (도마동)",042-721-7559
5,성모윌마취통증의학과의원,"대전광역시 서구 구봉로131번길 49, 3층 304,305호 (관저동)",042-719-7507
6,고르고의원,"대전광역시 서구 봉우로8번길 23, 대전관저디펠리체 2층 205,206,207호 (관저동)",042-541-8273
7,엠엔디메디의원,"대전광역시 서구 관저로 31, 엠디메디컬센터 5층 (관저동)",042-545-7511
8,조일영소아청소년과의원,"대전광역시 서구 구봉로 137, 201,202일부호 (관저동)",042-543-8355
9,한사랑365의원,"대전광역시 서구 계룡로 582, 1층일부, 5층 (괴정동)",042-334-1269
10,한사랑정형외과의원,"대전광역시 서구 계룡로 582, 2,3,4층 (괴정동)",042-334-5169
11,오케이마디의원,"대전광역시 서구 도산로 372-1, 3층 (용문동)",042-534-0365
12,서울굿내과의원,"대전광역시 서구 관저로 157, 하이존 2층 206호 (관저동)",042-477-2000
13,웰본정형외과의원,"대전광역시 서구 관저북로13번길 23-24, 승암빌딩 5층 (관저동)",042-710-7579
14,기린마취통증의학과의원,"대전광역시 서구 청사서로 26, 2층 201호 (월평동)",042-719-8020
15,더편한내과의원,"대전광역시 서구 관저로 23, 3층 (관저동)",042-716-7255
16,메이드유의원,"대전광역시 서구 둔산로31번길 10-23, 4층 (둔산동)",042-638-7582
17,데일리연합의원,"대전광역시 서구 관저로 27, 4층 401,402호 (관저동)",042-716-0365
18,잇츠미의원,"대전광역시 서구 대덕대로 223, 대우토피아 6층 601호 (둔산동)",042-486-6300
19,더블유드림의원,"대전광역시 서구 계룡로 613, 3층 (탄방동)",042-535-8712
20,대전성모안과의원,"대전광역시 서구 계룡로 599, MG한밭빌딩 6층 (탄방동)",042-533-0078
21,디에스성형외과의원,"대전광역시 서구 대덕대로 183, 10층 (둔산동)",042-484-1675
22,스타성형외과의원,"대전광역시 서구 둔산남로9번길 29, 4층 (둔산동)",042-471-8118
23,세이유외과의원,"대전광역시 서구 둔산중로 50, 파이낸스빌딩 1601~1604,1701호 (둔산동)",042-488-6075
24,대전더마스터의원,"대전광역시 서구 대덕대로 244, 건국타워 405,406호 (둔산동)",042-486-7773
25,현대의원,대전광역시 서구 도산로 237 (내동),042-537-9596
26,뮤즈의원,"대전광역시 서구 대덕대로 229, 명화빌딩 7층 (둔산동)",042-1544-4218
27,공감더하기정신건강의학과의원,"대전광역시 서구 계백로 1135, MK클리닉 404호 (가수원동)",042-542-7503
28,미델의원,"대전광역시 서구 관저중로 72, 2층 (관저동)",042-716-2356
29,김미연아임산부인과의원,"대전광역시 서구 대덕대로 183, 7층 (둔산동)",042-362-0007
30,밝은햇살내과의원,"대전광역시 서구 계룡로 599, MG한밭빌딩 2층 (탄방동)",042-531-8275
31,둔산한사랑정형외과의원,"대전광역시 서구 문예로 19, 스카이빌딩 1,4,10층 (탄방동)",
32,파인마취통증의학과의원,"대전광역시 서구 계백로 1135, MK클리닉 704,705,706호 (가수원동)",042-721-7588
33,위드유정신건강의학과의원,"대전광역시 서구 관저중로 72, 4층 (관저동)",042-710-7526
34,생명사랑산부인과의원,"대전광역시 서구 구봉로 139, 밀리온2 201,202호 (관저동)",042-721-0810
35,서울수정신건강의학과의원,"대전광역시 서구 둔산남로 94, 로고스빌딩 803호 (탄방동)",042-477-7585
36,웰컴정신건강의학과의원,"대전광역시 서구 도안동로 3, 리더스프라자에이 201호 (가수원동)",042-543-4575
37,타임피부과의원,"대전광역시 서구 둔산중로 50, 파이낸스빌딩 202호 (둔산동)",042-488-0770
38,선사여성의원,"대전광역시 서구 청사서로 14, 4층 (월평동)",042-482-7722
39,더끌림의원,"대전광역시 서구 둔산남로 94, 3층 (탄방동)",042-487-4875
40,예스(yes)바로나의원,"대전광역시 서구 관저로 13, 명경프라자 402,403호 (관저동)",042-541-7588
41,상쾌한장사랑내과의원,"대전광역시 서구 도산로 63, 도마정형외과 1층 (도마동)",042-719-2077
42,아이워너비의원,"대전광역시 서구 대덕대로 223, 403호 (둔산동)",
43,샤인톡스의원,"대전광역시 서구 대덕대로 226, 명동프라자 8층 (둔산동)",042-486-5600
44,더디자인성형외과의원,"대전광역시 서구 대덕대로 202, 경구빌딩 5층 (둔산동)",042-471-9980
45,좋은날신경과의원,"대전광역시 서구 구봉로 125, 스카이프라자 3층 (관저동)",042-542-3588
46,도마더블유피부과의원,"대전광역시 서구 도산로 51, 도마 LIFE CLINIC 303호 304호 (도마동)",042-534-7500
47,대단한내과의원,"대전광역시 서구 둔산중로 20, 나비家(가) 아르누보팰리스 지하1층 B102, B102A, B102B, B103~6호 (탄방동)",042-330-9000
48,타임플러스성형외과의원,"대전광역시 서구 대덕대로 202, 경구빌딩 8층 (둔산동)",042-489-3006
49,구정신건강의학과의원,"대전광역시 서구 계룡로 599, MG한밭빌딩 4층 403호 (탄방동)",042-532-7009
50,하늘토엠디의원ㆍ하늘토엠디한의원,"대전광역시 서구 문정로 64, 4층 (탄방동)",042-483-0225
51,대전하늘의료소비자생활협동조합 하늘의원,"대전광역시 서구 월평서로 11, 신신빌딩 1,2층 (월평동)",042-716-1275
52,아이리스의원,"대전광역시 서구 계룡로553번길 18, 조이빌딩 10층 (탄방동)",042-476-9922
53,더웰피부과의원,"대전광역시 서구 구봉로131번길 49, 3층 (관저동)",042-335-7575
54,크로바재활의학과의원,"대전광역시 서구 둔산로 129, 201호 (둔산동)",042-477-7582
55,대전엔도내과의원,"대전광역시 서구 청사로 128, 칼릭스빌딩 3층 (월평동)",042-710-2001
56,아이엠피부과의원,"대전광역시 서구 계룡로 599, MG한밭빌딩 6층 (탄방동)",042-533-1212
57,더탑재활의학과의원,"대전광역시 서구 관저북로13번길 23-12, 한빛빌딩 201,202,203호 (관저동)",042-546-0075
58,웰비뇨기과의원,"대전광역시 서구 대덕대로 226, 4층 (둔산동)",1588-8163
59,대전미래항외과의원,"대전광역시 서구 계백로 1135, 6층 604,605,606호 (가수원동)",042-543-0975
60,청담맑은의원,대전광역시 서구 계백로 1141 (가수원동),042-716-1101
61,나유미유외과의원,"대전광역시 서구 구봉로 139, 3층 301,302호 (관저동)",042-542-8872
62,참좋은이비인후과의원,"대전광역시 서구 구봉로 121, 5층 502호 (관저동)",042-541-9004
63,강남더메이의원,"대전광역시 서구 둔산로31번길 21, 2층 (둔산동)",042-476-0303
64,이경민소아청소년과의원,"대전광역시 서구 도안동로11번길 10, 3층 301,302,303호 (가수원동)",042-542-5275
65,으뜸정형외과의원,"대전광역시 서구 구봉로 139, 5층 (관저동)",042-543-2210
66,토리소아청소년과의원,"대전광역시 서구 청사로 130, 41호 (월평동, 청사로프라자)",042-489-7575
67,이지브레인정신건강의학과의원,"대전광역시 서구 둔산로 130, 406호 (둔산동, 대덕프라자)",042-477-2701
68,두리신경외과의원,"대전광역시 서구 문예로 69, 6층 (둔산동)",042-472-7511
69,김선귀이비인후과의원,"대전광역시 서구 대덕대로 164, 4층 (갈마동)",425250075
70,이연정신건강의학과의원,"대전광역시 서구 계룡로553번안길 19, 3층 302호 (탄방동)",042-471-7788
71,미즈아이소아청소년과의원,"대전광역시 서구 문정로2번길 95, 3층 (탄방동, 주안빌딩)",042-489-7580
72,나음정신건강의학과의원,"대전광역시 서구 대덕대로 179, 6층 602호 (둔산동, 엠제이피부과굿모닝어학원)",042-472-2262
73,미즈의원,"대전광역시 서구 문정로2번길 95, 2층 (탄방동, 주안빌딩)",042-488-2255
74,로하스이비인후과의원,"대전광역시 서구 대덕대로 396, 9층 901호 (만년동)",042-476-1717
75,부라보성형외과의원,"대전광역시 서구 계룡로 550, 3층 (괴정동)",042-528-9000
76,소망연합내과의원,"대전광역시 서구 계룡로 628, 3층,4층 (용문동)",042-536-0550
77,똑똑가정의학과의원,"대전광역시 서구 관저로 157, 4층 (관저동, 하이존)",042-542-8275
78,시온연합내과의원,"대전광역시 서구 대덕대로176번길 9, 3층 (둔산동)",042-384-1231
79,새마음연합의원,"대전광역시 서구 도산로 159, 2층 (변동, 신성빌딩)",042-522-7075
80,시크릿산부인과의원,"대전광역시 서구 청사서로 46, 3층 (월평동)",042-535-2266
81,연세미니성형외과의원,"대전광역시 서구 대덕대로 195, 4층 (둔산동, 현대빌딩)",042-472-3654
82,관저정신건강의학과의원,"대전광역시 서구 관저로 164, 5층 (관저동)",042-541-7550
83,이희우내과의원,"대전광역시 서구 계백로 1402, B동 2,4층 (도마동)",042-587-3110
84,굿닥터의원,"대전광역시 서구 월평로 58, 4층 (월평동)",042-482-7577
85,크로바안과의원,"대전광역시 서구 둔산로 144, 3층 (둔산동, 남원프라자)",042-489-7500
86,한양의원,"대전광역시 서구 문정로 134, 2,5,6층 (탄방동)",042-478-7575
87,브이유의원,"대전광역시 서구 대덕대로233번길 36, 3층 (둔산동, 라온채빌딩)",042-484-1131
88,더조은의원,"대전광역시 서구 정림로 56-10, 2,3층 (정림동, 정림프라자)",042-716-5656
89,세느산부인과의원,"대전광역시 서구 계룡로 550, 4층 (괴정동)",042-522-7522
90,엠제이마취통증의학과의원,"대전광역시 서구 대덕대로 179, 601호 (둔산동, 엠제이피부과  굿모닝어학원)",042-472-8575
91,봄소아청소년과의원,"대전광역시 서구 구봉로 125, 스카이프라자 204호 (관저동)",042-825-7580
92,제이에스힐링의원,"대전광역시 서구 계룡로 633, 2,6층 (탄방동)",042-525-0111
93,코뿔소이비인후과의원,"대전광역시 서구 계룡로 599, MG한밭빌딩 5층 (탄방동)",042-538-8885
94,서울예사랑내과의원,"대전광역시 서구 관저북로13번길 23-12, 5층 (관저동, 한빛빌딩)",042-719-7588
95,효안과의원,"대전광역시 서구 대덕대로 179, 7층,8층 (둔산동)",042-486-5050
96,연세더블유의원,"대전광역시 서구 대덕대로 219, 5층 (둔산동)",042-472-2252
97,키즈웰소아청소년과의원,"대전광역시 서구 도안대로 25, 104,105호 (관저동)",042-721-7511
98,하나신경과의원,"대전광역시 서구 계룡로 633, 4층 (탄방동)",042-535-4111
99,예담산부인과의원,"대전광역시 서구 도안대로 25, 2,3,4층 (관저동)",042-546-9300
100,앨리스의원,"대전광역시 서구 대덕대로 203, 4층 (둔산동, 둔산미래빌딩)",042-487-1277
101,심안과의원,"대전광역시 서구 도안동로 3, 304,305호 (가수원동, 리더스프라자에이)",042-543-5647
102,모담의원,"대전광역시 서구 계백로 1141, 3,4층 303호, 401호 (가수원동)",042-716-3363
103,보니엘의원,"대전광역시 서구 대덕대로 203, 9층 (둔산동, 둔산미래빌딩)",042-488-1600
104,365최재혁가정의학과의원,"대전광역시 서구 계백로 1141, 301호 (가수원동)",042-544-1119
105,모델라인의원,"대전광역시 서구 둔산로 52, 6층 (둔산동)",042-484-4969
106,맑은의원,"대전광역시 서구 둔산중로 38, 209호 (둔산동, 메트로존빌딩)",042-286-2286
107,애플소아청소년과의원,"대전광역시 서구 원도안로 51, 302호 (가수원동)",042-541-8875
108,조인정형외과의원,"대전광역시 서구 계룡로553번길 18, 7,8층 (탄방동)",042-714-0700
109,예쁜아이소아청소년과의원,"대전광역시 서구 도안중로 306, 2, 3층 (도안동)",042-822-3556
110,초이스뷰의원,"대전광역시 서구 둔산로 20, 5층 (둔산동)",042-486-4842
111,도마정형외과의원,대전광역시 서구 도산로 63 (도마동),042-536-8575
112,오렌지나무의원,"대전광역시 서구 대덕대로 164, 2,3층 (갈마동)",042-528-1575
113,한내과의원,"대전광역시 서구 도산로 176, 2층 (변동)",042-533-9229
114,이정은정신건강의학과의원,"대전광역시 서구 문정로 30, 6층 (탄방동, 한마음클리닉)",042-484-0006
115,어경선정신건강의학과의원,"대전광역시 서구 문정로 85, 3층 (탄방동)",042-488-7100
116,페이스성형외과의원,"대전광역시 서구 대덕대로 203, 3층 (둔산동)",042-484-2300
117,엄재활의학과의원,"대전광역시 서구 도안동로 3, 4층 403호 (가수원동)",042-543-9775
118,메디벨의원,"대전광역시 서구 대덕대로 197, 8층 (둔산동)",042-488-6211
119,포에버의원,"대전광역시 서구 대덕대로 189, 3층 (둔산동)",1899-8300
120,한빛외과의원,"대전광역시 서구 신갈마로 110-1, 3층 (갈마동)",042-524-7701
121,유샘외과의원,"대전광역시 서구 문정로48번길 70, 201호 (탄방동)",042-632-6363
122,아이맘소아청소년과의원,"대전광역시 서구 문정로 7, 1층 101호 (둔산동)",042-471-0101
123,이지소아청소년과의원,"대전광역시 서구 청사로 282, 302호 (둔산동, 수정타운상가)",042-484-7775
124,플레인의원,대전광역시 서구 둔산로 136 (둔산동),471-2510
125,서울아산이비인후과의원,"대전광역시 서구 구봉로 139, 304,305,306,307호 (관저동)",042-543-5533
126,수목토연합의원,"대전광역시 서구 도안동로 177, 206호 (도안동, 수목토아파트상가)",042-544-8005
127,청담피부과의원,"대전광역시 서구 둔산로31번길 21, 5층 (둔산동)",042-471-5300
128,백세성모정형외과의원,대전광역시 서구 도산로 286 (가장동),042-716-0119
129,서울조인스정형외과의원,"대전광역시 서구 대덕대로 164, 2,7층 (갈마동)",042-538-2543
130,신선정형외과의원,"대전광역시 서구 관저중로 72, 4층 (관저동)",042-636-3003
131,연세 남인환피부과의원,"대전광역시 서구 둔산남로 85, 3층 301호 (둔산동, 크레온오피스텔)",042-483-2075
132,윤마취통증의학과의원,"대전광역시 서구 둔산중로 38, 4층 (둔산동, 메트로존)",042-477-0100
133,하나내과의원,"대전광역시 서구 관저중로 72, 메디컬센터 5층 (관저동)",042-242-8275
134,세종가정의학과의원,"대전광역시 서구 관저북로 15, 2,3층 201,202,203,302,303호 (관저동, D&A프라자)",042-542-6597
135,둔산송도외과의원,"대전광역시 서구 계룡로 586, 2층 (괴정동)",042-525-7175
136,서울하정외과의원,"대전광역시 서구 대덕대로 203, 미래빌딩 6층 601호 (둔산동)",042-716-1106
137,신통재활의학과의원,"대전광역시 서구 도산로 51, 4층 (도마동)",042-523-9988
138,스마트내과의원,"대전광역시 서구 문정로 86, 2층 (탄방동)",042-478-7576
139,숨은그림성형외과의원,"대전광역시 서구 대덕대로 244, 건국타워 501,502호 (둔산동)",042-482-9933
140,굿모닝이비인후과의원,"대전광역시 서구 문정로2번길 95, 301호 (탄방동, 주안빌딩)",042-531-9200
141,둔산라파엘의원,"대전광역시 서구 둔산로31번길 10-23, 3층 (둔산동)",042-488-5375
142,드림연합의원,"대전광역시 서구 도산로253번길 45, 2층 (내동)",042-523-1275
143,모태산부인과의원,"대전광역시 서구 대덕대로 191, 1,2,3,4,5층 (둔산동)",042-472-0080
144,관저참소아청소년과의원,"대전광역시 서구 관저중로 72, 3층 (관저동)",042-542-7582
145,플러스흉부외과의원,"대전광역시 서구 둔산중로 50, 303,304호 (둔산동)",042-488-1004
146,미탐의원,대전광역시 서구 대덕대로 197 (둔산동),042-489-1175
147,호재활의학과의원,"대전광역시 서구 대덕대로 200, 4층 (둔산동)",042-483-2575
148,엘케이피부과의원,"대전광역시 서구 둔산로 52, 3층 (둔산동)",042-477-0050
149,연세모벨르의원,"대전광역시 서구 둔산로 52, 5층 504호 (둔산동)",042-485-7563
150,밝은누리안과의원,"대전광역시 서구 대덕대로 182, 4,5층 (둔산동)",042-485-6644
151,어깨사랑마취통증의학과의원,"대전광역시 서구 대덕대로167번길 5, 4층 (갈마동)",042-527-1587
152,퀸즈메디산부인과의원,"대전광역시 서구 문정로 62, 3층 (탄방동)",042-485-7553
153,보다안과의원,"대전광역시 서구 둔산중로 50, 501,502,503호 (둔산동)",042-528-0079
154,강남의원,"대전광역시 서구 둔산중로 50, 405호 (둔산동, 파이낸스빌딩)",042-864-1800
155,갤러리성모정형외과의원,"대전광역시 서구 대덕대로 203, 8,9층 (둔산동)",042-478-9300
156,진가정의학과의원,"대전광역시 서구 관저로 83, 201호 (관저동, 신선마을아파트상가)",042-541-2375
157,원이비인후과의원,"대전광역시 서구 문정로 76, 3층 (탄방동)",042-522-8692
158,스마일비뇨기과의원,"대전광역시 서구 계백로 1426, 205,206호 (도마동)",042-581-8253
159,국소아청소년과의원,"대전광역시 서구 복수동로 61, 2층 (복수동)",042-584-7570
160,유항외과의원,"대전광역시 서구 계룡로 646, 3층 (용문동)",042-536-2800
161,아름다운여성의원,"대전광역시 서구 관저로 172, 301호 (관저동)",042-544-8272
162,라파엘신경과의원,"대전광역시 서구 둔산남로 107, 9층 (둔산동)",042-488-8204
163,굿모닝재활의학과의원,"대전광역시 서구 문정로48번길 58, 4층 (탄방동, 자생빌딩)",042-538-7500
164,씨앤와이병리과의원,"대전광역시 서구 둔산대로117번길 18, 3층 (만년동, 거상빌딩)",042-535-5339
165,휴정신건강의학과의원,"대전광역시 서구 둔산로 52, 5층 (둔산동, 미라클빌딩)",042-485-5900
166,미엘성형외과의원,"대전광역시 서구 대덕대로 198, 6층 (둔산동)",042-489-0099
167,유앤유산부인과의원,"대전광역시 서구 대덕대로 199, 2층 (둔산동)",042-489-7285
168,우리연합의원,"대전광역시 서구 도안북로 107, 302호 (도안동, 성광타워 도안빌딩)",042-825-7803
169,지정신건강의학과의원,"대전광역시 서구 둔산중로 50, 4층 401호 (둔산동)",042-484-6655
170,연세엘레슈의원,"대전광역시 서구 둔산로 34, 9층 (둔산동)",042-471-6055
171,둔산성모마취통증의학과의원,"대전광역시 서구 문정로 131, 2층 207호 (탄방동, 뉴한양프라자)",042-489-7554
172,프라임비뇨기과의원,대전광역시 서구 월평중로 36 (월평동),042-484-8688
173,한양내과의원,"대전광역시 서구 계백로 1440, 3층 (도마동)",042-254-7575
174,엘젠느의원,"대전광역시 서구 대덕대로176번길 9, 8층 (둔산동)",042-476-0238
175,이형주성형외과의원,"대전광역시 서구 계룡로 586, 6층 (괴정동)",042-255-8886
176,율빛의원,"대전광역시 서구 계룡로 586, 301호 (괴정동)",042-535-1075
177,크리미의원,"대전광역시 서구 둔산로 25, 3,4층 (둔산동)",042-489-3441
178,드림안과의원,"대전광역시 서구 관저로 157, 2층 (관저동, 하이존)",042-543-5052
179,우리내과의원,"대전광역시 서구 가장로 100, 4층 (가장동)",042-528-0900
180,설여성의원,"대전광역시 서구 대덕대로 203, 7층 (둔산동)",042-483-0009
181,둔산배사랑내과의원,"대전광역시 서구 대덕대로 203, 7층 (둔산동, 둔산미래빌딩)",042-478-6000
182,둔산예스비뇨기과의원,"대전광역시 서구 둔산로 144, 3층 (둔산동)",042-488-5550
183,밝은성모안과의원,"대전광역시 서구 도산로 45, 302호 (도마동)",042-585-1516
184,유소아청소년과의원,"대전광역시 서구 정림로 62-1, 2층 (정림동)",042-585-7582
185,미애로여성의원,"대전광역시 서구 둔산로 121, 3층 (둔산동)",042-471-7558
186,미라클의원,"대전광역시 서구 둔산로 130, 407호 (둔산동, 대덕프라자)",042-489-1400
187,라벨라여성의원,"대전광역시 서구 계룡로 605, 601호 (탄방동)",042-631-3582
188,선사성형외과의원,대전광역시 서구 청사로 121 (월평동),042-486-1654
189,에스티피부과의원,"대전광역시 서구 계룡로 586, 302호 (괴정동)",042-535-5800
190,한솔안과의원,"대전광역시 서구 둔산중로 38, 8층 (둔산동)",042-487-5500
191,프라임내과의원,"대전광역시 서구 계룡로 616, 3층 302,314,315,316호 (괴정동, 대전오렌지타운)",042-253-8275
192,연세한사랑의원,"대전광역시 서구 정림로 18, 2층 (정림동)",042-585-8235
193,예사랑의원,"대전광역시 서구 신갈마로 46, 403호 (내동, 롯데아파트상가)",042-527-2806
194,미즈소아청소년과의원,"대전광역시 서구 문정로48번길 58, 5층 (탄방동)",042-483-7555
195,둔산속편한내과영상의학과의원,"대전광역시 서구 계룡로 586, 4,5,6층 (괴정동)",042-526-3010
196,모태마취통증의학과의원,"대전광역시 서구 대덕대로 191, 2층 (둔산동)",042-472-0080
197,리얼진성형외과의원,"대전광역시 서구 계룡로553번길 72, 5층 (탄방동)",042-477-8080
198,우리수내과의원,"대전광역시 서구 문정로2번길 95, 3층 (탄방동, 주안빌딩)",042-489-1600
199,이동규의원,"대전광역시 서구 둔산중로 20, 나비家 아르누보팰리스 2층 201,228,229호 (탄방동)",042-471-8175
200,오광진마취통증의학과의원,"대전광역시 서구 계백로 1426, 202호 (도마동, 써머스빌)",042-584-8500
201,맑은눈안과의원,"대전광역시 서구 한밭대로 745, 지하1층,지하2층 (둔산동)",042-476-0075
202,폴라인피부과의원,"대전광역시 서구 문예로 43, 2층 (둔산동)",042-476-0002
203,두리이비인후과의원,"대전광역시 서구 대덕대로 179, 7층 701호 (둔산동, 엠제이피부과  굿모닝어학원)",042-484-7592
204,리라산부인과여성의원,"대전광역시 서구 계룡로 616, 3층 (괴정동, 오렌지타운)",042-522-1675
205,혜인통증의학과의원,"대전광역시 서구 관저로 164, 4층 (관저동)",042-543-7585
206,관저드림의원,"대전광역시 서구 관저로 164, 2층 (관저동)",042-544-8875
207,굿모닝비뇨기과의원,"대전광역시 서구 둔산중로 38, 504호 (둔산동, 둔산메트로존)",042-486-7533
208,우성정형외과의원,"대전광역시 서구 둔산남로 100, 3,7층 (탄방동)",042-477-5119
209,연세피부과의원,"대전광역시 서구 계룡로 613, 4층 (탄방동)",042-527-2575
210,초록내과의원,"대전광역시 서구 복수동로 39-26, 2층 (복수동)",042-586-7511
211,서울중앙의원,"대전광역시 서구 계백로 1282, B1,1~5층 (정림동)",042-583-5400
212,소중한빛안과의원,"대전광역시 서구 계룡로 605, 201호 (탄방동)",042-524-7588
213,성모훼밀리의원,"대전광역시 서구 복수북로 42, 2층 (복수동)",042-586-7676
214,털보헤어플러스의원,"대전광역시 서구 계룡로 605, 801호 (탄방동)",042-483-5875
